"participant","condsFile","order","trial","nTrip","totalListTime","meanListTime","totalShelfTime","meanShelfTime","totalTime","totalCorrect","meanCorrect","meanCorBefInc","totalInCorrect","meanIncorrect","maxCorrect","maxIncorrect","totalClickeds","meanclickeds","meanMU","datetime","Gender","Parent_reported_age","Grade","Ethnicity","Race","screen_use_days","screen_use_hour","screen_purpose","colorblindness","screen_age_started","intervention","languages","birthday.x","birthday.y","age","date","months","days","agebin","conditionType"
2,"longDelay","D",1,1,7.86095798015594,7.86095798015594,17.4807168636471,17.4807168636471,25.341674843803,4,4,4,0,0,4,0,4,4,4,"12/15/2023 12:23:27","Male",4,"Pre-K / preschool / nursery school","Not Hispanic or Latino","Asian","3-4 days","0-1 hour","playing games, reading books, watching videos","No","2","No","No","1/17/2019","1/17/19",4.8,"12/15/23",58,29,"54.0-64.0","freeResponse"
2,"longDelay","D",2,1,5.09143607877195,5.09143607877195,28.9778743814677,28.9778743814677,34.0693104602396,4,4,3,3,3,4,3,7,7,1,"12/15/2023 12:23:27","Male",4,"Pre-K / preschool / nursery school","Not Hispanic or Latino","Asian","3-4 days","0-1 hour","playing games, reading books, watching videos","No","2","No","No","1/17/2019","1/17/19",4.8,"12/15/23",58,29,"54.0-64.0","freeResponse"
2,"longDelay","D",3,1,4.2748923804611,4.2748923804611,8.73676256276667,8.73676256276667,13.0116549432278,2,2,2,0,0,2,0,2,2,2,"12/15/2023 12:23:27","Male",4,"Pre-K / preschool / nursery school","Not Hispanic or Latino","Asian","3-4 days","0-1 hour","playing games, reading books, watching videos","No","2","No","No","1/17/2019","1/17/19",4.8,"12/15/23",58,29,"54.0-64.0","freeResponse"
2,"longDelayClosing","D",1,1,3.8011412769556,3.8011412769556,25.6241189409047,25.6241189409047,29.4252602178603,4,4,1,6,6,4,6,10,10,-2,"12/15/2023 12:23:27","Male",4,"Pre-K / preschool / nursery school","Not Hispanic or Latino","Asian","3-4 days","0-1 hour","playing games, reading books, watching videos","No","2","No","No","1/17/2019","1/17/19",4.8,"12/15/23",58,29,"54.0-64.0","totalResponse"
2,"noDelay","D",1,1,2.74780236184597,2.74780236184597,15.8516405001283,15.8516405001283,18.5994428619742,2,2,2,0,0,2,0,2,2,2,"12/15/2023 12:23:27","Male",4,"Pre-K / preschool / nursery school","Not Hispanic or Latino","Asian","3-4 days","0-1 hour","playing games, reading books, watching videos","No","2","No","No","1/17/2019","1/17/19",4.8,"12/15/23",58,29,"54.0-64.0","freeResponse"
2,"noDelay","D",2,1,10.2178098596632,10.2178098596632,10.5267064012587,10.5267064012587,20.744516260922,2,2,2,0,0,2,0,2,2,2,"12/15/2023 12:23:27","Male",4,"Pre-K / preschool / nursery school","Not Hispanic or Latino","Asian","3-4 days","0-1 hour","playing games, reading books, watching videos","No","2","No","No","1/17/2019","1/17/19",4.8,"12/15/23",58,29,"54.0-64.0","freeResponse"
2,"noDelay","D",3,1,3.70127296075225,3.70127296075225,10.9557111617178,10.9557111617178,14.65698412247,1,1,1,1,1,1,1,2,2,0,"12/15/2023 12:23:27","Male",4,"Pre-K / preschool / nursery school","Not Hispanic or Latino","Asian","3-4 days","0-1 hour","playing games, reading books, watching videos","No","2","No","No","1/17/2019","1/17/19",4.8,"12/15/23",58,29,"54.0-64.0","freeResponse"
2,"noDelayClosing","D",1,1,2.45958836190403,2.45958836190403,15.3214207421988,15.3214207421988,17.7810091041028,5,5,2,5,5,5,5,10,10,0,"12/15/2023 12:23:27","Male",4,"Pre-K / preschool / nursery school","Not Hispanic or Latino","Asian","3-4 days","0-1 hour","playing games, reading books, watching videos","No","2","No","No","1/17/2019","1/17/19",4.8,"12/15/23",58,29,"54.0-64.0","totalResponse"
2,"oneShot3.2","D",1,1,2.83262305893004,2.83262305893004,18.0438031423837,18.0438031423837,20.8764262013137,6,6,0,4,4,6,4,10,10,2,"12/15/2023 12:23:27","Male",4,"Pre-K / preschool / nursery school","Not Hispanic or Latino","Asian","3-4 days","0-1 hour","playing games, reading books, watching videos","No","2","No","No","1/17/2019","1/17/19",4.8,"12/15/23",58,29,"54.0-64.0","freeResponse"
2,"oneShot3.2","D",2,1,2.99806906096637,2.99806906096637,11.9970554616302,11.9970554616302,14.9951245225966,4,4,1,2,2,4,2,6,6,2,"12/15/2023 12:23:27","Male",4,"Pre-K / preschool / nursery school","Not Hispanic or Latino","Asian","3-4 days","0-1 hour","playing games, reading books, watching videos","No","2","No","No","1/17/2019","1/17/19",4.8,"12/15/23",58,29,"54.0-64.0","freeResponse"
